node_id,sae_name,activity_threshold,subgraph_id,subgraph_size,feature_activations
129,resjb,0.0,128,1,27.0
130,resjb,0.0,129,1,63.0
131,resjb,0.0,130,2,450.0
5271,resjb,0.0,130,2,435.0
132,resjb,0.0,131,1,26.0
133,resjb,0.0,132,1,16.0
18052,resjb,0.0,133,52,52.0
134,resjb,0.0,133,52,35.0
9351,resjb,0.0,133,52,36.0
9991,resjb,0.0,133,52,62.0
16905,resjb,0.0,133,52,59.0
2953,resjb,0.0,133,52,68.0
4875,resjb,0.0,133,52,56.0
15884,resjb,0.0,133,52,52.0
13070,resjb,0.0,133,52,41.0
15253,resjb,0.0,133,52,43.0
3736,resjb,0.0,133,52,35.0
18586,resjb,0.0,133,52,52.0
21915,resjb,0.0,133,52,35.0
9250,resjb,0.0,133,52,34.0
17826,resjb,0.0,133,52,66.0
13862,resjb,0.0,133,52,64.0
4264,resjb,0.0,133,52,55.0
7211,resjb,0.0,133,52,74.0
17583,resjb,0.0,133,52,68.0
6192,resjb,0.0,133,52,69.0
5300,resjb,0.0,133,52,38.0
19384,resjb,0.0,133,52,35.0
23867,resjb,0.0,133,52,55.0
13756,resjb,0.0,133,52,90.0
15294,resjb,0.0,133,52,31.0
18753,resjb,0.0,133,52,59.0
9922,resjb,0.0,133,52,62.0
20802,resjb,0.0,133,52,63.0
24516,resjb,0.0,133,52,48.0
4681,resjb,0.0,133,52,65.0
22730,resjb,0.0,133,52,57.0
17609,resjb,0.0,133,52,71.0
10191,resjb,0.0,133,52,48.0
14416,resjb,0.0,133,52,62.0
21842,resjb,0.0,133,52,49.0
4563,resjb,0.0,133,52,54.0
1110,resjb,0.0,133,52,45.0
20311,resjb,0.0,133,52,44.0
14938,resjb,0.0,133,52,53.0
8546,resjb,0.0,133,52,49.0
5091,resjb,0.0,133,52,41.0
12003,resjb,0.0,133,52,46.0
21220,resjb,0.0,133,52,41.0
20713,resjb,0.0,133,52,42.0
23149,resjb,0.0,133,52,73.0
23408,resjb,0.0,133,52,62.0
18418,resjb,0.0,133,52,48.0
1779,resjb,0.0,133,52,70.0
14713,resjb,0.0,133,52,47.0
20092,resjb,0.0,133,52,73.0
7549,resjb,0.0,133,52,73.0
20862,resjb,0.0,133,52,39.0
135,resjb,0.0,134,1,21.0
136,resjb,0.0,135,10,25.0
18173,resjb,0.0,135,10,27.0
4624,resjb,0.0,135,10,28.0
14513,resjb,0.0,135,10,30.0
16152,resjb,0.0,135,10,27.0
7193,resjb,0.0,135,10,36.0
3771,resjb,0.0,135,10,36.0
11004,resjb,0.0,135,10,36.0
12285,resjb,0.0,135,10,34.0
9662,resjb,0.0,135,10,31.0
137,resjb,0.0,136,1,26.0
138,resjb,0.0,137,1,20.0
139,resjb,0.0,138,1,35.0
140,resjb,0.0,139,1,33.0
141,resjb,0.0,140,1,0.0
23714,resjb,0.0,141,9,29.0
19428,resjb,0.0,141,9,21.0
15912,resjb,0.0,141,9,29.0
18474,resjb,0.0,141,9,32.0
15275,resjb,0.0,141,9,27.0
4941,resjb,0.0,141,9,50.0
142,resjb,0.0,141,9,22.0
17140,resjb,0.0,141,9,22.0
23256,resjb,0.0,141,9,36.0
143,resjb,0.0,142,1,52.0
144,resjb,0.0,143,1,10.0
145,resjb,0.0,144,1,0.0
146,resjb,0.0,145,1,222.0
147,resjb,0.0,146,1,1.0
20416,resjb,0.0,147,16,18.0
23136,resjb,0.0,147,16,31.0
18791,resjb,0.0,147,16,36.0
7210,resjb,0.0,147,16,24.0
10412,resjb,0.0,147,16,21.0
8109,resjb,0.0,147,16,55.0
23631,resjb,0.0,147,16,31.0
8592,resjb,0.0,147,16,36.0
17681,resjb,0.0,147,16,47.0
20242,resjb,0.0,147,16,35.0
148,resjb,0.0,147,16,46.0
7253,resjb,0.0,147,16,29.0
2261,resjb,0.0,147,16,49.0
10969,resjb,0.0,147,16,61.0
16218,resjb,0.0,147,16,33.0
7708,resjb,0.0,147,16,38.0
149,resjb,0.0,148,1,52.0
150,resjb,0.0,149,1,41.0
1545,resjb,0.0,150,2,89.0
151,resjb,0.0,150,2,110.0
152,resjb,0.0,151,1,50.0
153,resjb,0.0,152,1,0.0
154,resjb,0.0,153,1,33.0
155,resjb,0.0,154,1,46.0
156,resjb,0.0,155,1,236.0
157,resjb,0.0,156,1,0.0
158,resjb,0.0,157,1,13.0
159,resjb,0.0,158,1,11.0
160,resjb,0.0,159,1,20.0
161,resjb,0.0,160,1,53.0
162,resjb,0.0,161,1,91.0
163,resjb,0.0,162,1,49.0
164,resjb,0.0,163,1,29.0
165,resjb,0.0,164,1,34.0
166,resjb,0.0,165,1,47.0
167,resjb,0.0,166,1,22.0
168,resjb,0.0,167,1,26.0
169,resjb,0.0,168,1,134.0
170,resjb,0.0,169,1,24.0
171,resjb,0.0,170,1,62.0
11011,resjb,0.0,171,22,47.0
17284,resjb,0.0,171,22,46.0
13957,resjb,0.0,171,22,39.0
6038,resjb,0.0,171,22,42.0
2457,resjb,0.0,171,22,37.0
9373,resjb,0.0,171,22,40.0
11423,resjb,0.0,171,22,52.0
9505,resjb,0.0,171,22,42.0
17834,resjb,0.0,171,22,47.0
172,resjb,0.0,171,22,40.0
6071,resjb,0.0,171,22,57.0
16696,resjb,0.0,171,22,47.0
20927,resjb,0.0,171,22,45.0
21953,resjb,0.0,171,22,31.0
11605,resjb,0.0,171,22,44.0
1242,resjb,0.0,171,22,33.0
10843,resjb,0.0,171,22,45.0
4445,resjb,0.0,171,22,41.0
6494,resjb,0.0,171,22,47.0
19300,resjb,0.0,171,22,38.0
14070,resjb,0.0,171,22,46.0
13304,resjb,0.0,171,22,21.0
173,resjb,0.0,172,1,0.0
174,resjb,0.0,173,1,20.0
175,resjb,0.0,174,1,28.0
176,resjb,0.0,175,1,50.0
177,resjb,0.0,176,1,12.0
178,resjb,0.0,177,1,40.0
179,resjb,0.0,178,1,109.0
180,resjb,0.0,179,1,0.0
181,resjb,0.0,180,1,27.0
182,resjb,0.0,181,1,0.0
183,resjb,0.0,182,1,0.0
184,resjb,0.0,183,1,54.0
185,resjb,0.0,184,1,45.0
186,resjb,0.0,185,1,0.0
20741,resjb,0.0,186,34,43.0
11782,resjb,0.0,186,34,56.0
21511,resjb,0.0,186,34,50.0
24332,resjb,0.0,186,34,40.0
15116,resjb,0.0,186,34,51.0
16012,resjb,0.0,186,34,50.0
24333,resjb,0.0,186,34,43.0
14482,resjb,0.0,186,34,58.0
13332,resjb,0.0,186,34,64.0
19736,resjb,0.0,186,34,52.0
8987,resjb,0.0,186,34,53.0
21538,resjb,0.0,186,34,65.0
15021,resjb,0.0,186,34,46.0
16946,resjb,0.0,186,34,55.0
17332,resjb,0.0,186,34,73.0
21172,resjb,0.0,186,34,44.0
187,resjb,0.0,186,34,73.0
9543,resjb,0.0,186,34,65.0
2123,resjb,0.0,186,34,62.0
7887,resjb,0.0,186,34,38.0
21713,resjb,0.0,186,34,53.0
22354,resjb,0.0,186,34,64.0
2393,resjb,0.0,186,34,59.0
5596,resjb,0.0,186,34,44.0
12508,resjb,0.0,186,34,77.0
3296,resjb,0.0,186,34,58.0
20833,resjb,0.0,186,34,60.0
14438,resjb,0.0,186,34,38.0
9704,resjb,0.0,186,34,47.0
12648,resjb,0.0,186,34,47.0
12022,resjb,0.0,186,34,41.0
18294,resjb,0.0,186,34,40.0
24316,resjb,0.0,186,34,46.0
22143,resjb,0.0,186,34,72.0
3632,resjb,0.0,187,2,3.0
188,resjb,0.0,187,2,1.0
189,resjb,0.0,188,1,19.0
190,resjb,0.0,189,1,43.0
191,resjb,0.0,190,1,0.0
192,resjb,0.0,191,1,61.0
193,resjb,0.0,192,1,0.0
194,resjb,0.0,193,1,1.0
195,resjb,0.0,194,1,0.0
196,resjb,0.0,195,1,1.0
197,resjb,0.0,196,1,21.0
198,resjb,0.0,197,1,19.0
199,resjb,0.0,198,1,38.0
200,resjb,0.0,199,1,0.0
201,resjb,0.0,200,1,0.0
202,resjb,0.0,201,1,0.0
203,resjb,0.0,202,1,0.0
204,resjb,0.0,203,1,44.0
205,resjb,0.0,204,1,0.0
206,resjb,0.0,205,1,14.0
207,resjb,0.0,206,1,29.0
17674,resjb,0.0,207,27,51.0
3473,resjb,0.0,207,27,53.0
6419,resjb,0.0,207,27,43.0
19988,resjb,0.0,207,27,26.0
